vendor,api_slug,class,reason,removed,readd_condition,evidence_source
supportivekoala.com,main,dead-product,domain now serves gambling site (QQEMAS Slot777); api. and developers. subdomains NXDOMAIN,2026-08-06,"Only if the vendor demonstrably relaunches a PUBLIC API program: cite live docs URL + successful unauthenticated probe of the docs, and record the revocation in this file and in the curation ledger.",recheck-tranche-15
replicate.so,main,dead-product,https://app.swaggerhub.com/apis-docs/KAWSARHOSSAIN20108_1/Integration/1.0.0,2026-08-06,"Only if the vendor demonstrably relaunches a PUBLIC API program: cite live docs URL + successful unauthenticated probe of the docs, and record the revocation in this file and in the curation ledger.",recheck-tranche-13
resmo.com,main,dead-product,https://docs.resmo.com/product/api,2026-08-06,"Only if the vendor demonstrably relaunches a PUBLIC API program: cite live docs URL + successful unauthenticated probe of the docs, and record the revocation in this file and in the curation ledger.",recheck-tranche-13
retine.io,main,dead-product,https://retine.io/dashboard,2026-08-06,"Only if the vendor demonstrably relaunches a PUBLIC API program: cite live docs URL + successful unauthenticated probe of the docs, and record the revocation in this file and in the curation ledger.",recheck-tranche-13
classdo.com,main,dead-product,ClassDo API host and developer portal both resolve NXDOMAIN and classdo.com now redirects to jobaddie.com; the GraphQL API appears discontinued.,2026-08-06,"Only if the vendor demonstrably relaunches a PUBLIC API program: cite live docs URL + successful unauthenticated probe of the docs, and record the revocation in this file and in the curation ledger.",recheck-tranche-04
clickmeter.com,clickmeter,dead-product,ClickMeter was absorbed into Rebrandly; clickmeter.com redirects to rebrandly.com; apiv2.clickmeter.com is NXDOMAIN and the support docs are gone.,2026-08-06,"Only if the vendor demonstrably relaunches a PUBLIC API program: cite live docs URL + successful unauthenticated probe of the docs, and record the revocation in this file and in the curation ledger.",recheck-tranche-04
code.gov,code-gov,dead-product,Product dead: no live API host or docs; service folded into digital.gov policy content.,2026-08-06,"Only if the vendor demonstrably relaunches a PUBLIC API program: cite live docs URL + successful unauthenticated probe of the docs, and record the revocation in this file and in the curation ledger.",recheck-tranche-04
cognitivefashion.github.io,ibm-ai-for-fashion-api,dead-product,Old IBM Research AI-for-Fashion demo API. The Slate docs page still renders on github.io but the API host api.cognitivefashion.com no longer resolves (NXDOMAIN),2026-08-06,"Only if the vendor demonstrably relaunches a PUBLIC API program: cite live docs URL + successful unauthenticated probe of the docs, and record the revocation in this file and in the curation ledger.",recheck-tranche-04
mobilepay.dk,main,dead-product,n/a,2026-08-06,"Only if the vendor demonstrably relaunches a PUBLIC API program: cite live docs URL + successful unauthenticated probe of the docs, and record the revocation in this file and in the curation ledger.",recheck-tranche-09
mobimag.com,main,dead-product,n/a,2026-08-06,"Only if the vendor demonstrably relaunches a PUBLIC API program: cite live docs URL + successful unauthenticated probe of the docs, and record the revocation in this file and in the curation ledger.",recheck-tranche-09
mojepanstwo.pl,main,dead-product,https://api.swaggerhub.com/apis/ad-m/epf/v3,2026-08-06,"Only if the vendor demonstrably relaunches a PUBLIC API program: cite live docs URL + successful unauthenticated probe of the docs, and record the revocation in this file and in the curation ledger.",recheck-tranche-09
myworkerai.com,main,dead-product,n/a,2026-08-06,"Only if the vendor demonstrably relaunches a PUBLIC API program: cite live docs URL + successful unauthenticated probe of the docs, and record the revocation in this file and in the curation ledger.",recheck-tranche-09
narrato.io,narrato-api,dead-product,n/a,2026-08-06,"Only if the vendor demonstrably relaunches a PUBLIC API program: cite live docs URL + successful unauthenticated probe of the docs, and record the revocation in this file and in the curation ledger.",recheck-tranche-09
needle.app,needle-api,dead-product,n/a,2026-08-06,"Only if the vendor demonstrably relaunches a PUBLIC API program: cite live docs URL + successful unauthenticated probe of the docs, and record the revocation in this file and in the curation ledger.",recheck-tranche-09
impala.travel,impala-hotel-booking-api,dead-product,Hotel booking API discontinued; company pivoted to managed business-travel savings. API hosts and docs subdomain no longer resolve.,2026-08-06,"Only if the vendor demonstrably relaunches a PUBLIC API program: cite live docs URL + successful unauthenticated probe of the docs, and record the revocation in this file and in the curation ledger.",recheck-tranche-08
impala.travel,impala-hotel-bookings,dead-product,Booking API docs subdomain dead; product discontinued.,2026-08-06,"Only if the vendor demonstrably relaunches a PUBLIC API program: cite live docs URL + successful unauthenticated probe of the docs, and record the revocation in this file and in the curation ledger.",recheck-tranche-08
bimbala.com,main,dead-product,Domain parked/for-sale on GoDaddy; API host dead. Our jentic-generated 4-path spec references a defunct API. Candidate for removal.,2026-08-06,"Only if the vendor demonstrably relaunches a PUBLIC API program: cite live docs URL + successful unauthenticated probe of the docs, and record the revocation in this file and in the curation ledger.",recheck-tranche-03
participate.com,main,dead-product,api.participate.com returns {error:not_found} for /api/docs and ALL paths incl root; only marketing site (WordPress/Gravity Forms) remains live at participate.com - API docs 404 wi,2026-08-06,"Only if the vendor demonstrably relaunches a PUBLIC API program: cite live docs URL + successful unauthenticated probe of the docs, and record the revocation in this file and in the curation ledger.",recheck-tranche-11
clarivate.com,main,remove-entry,entry misattributes Westlaw (a Thomson Reuters legal-research product) to Clarivate; no public Westlaw API documented; base_url api.clarivate.com is Clarivate's real gateway for We,2026-08-06,"Only if the vendor demonstrably relaunches a PUBLIC API program: cite live docs URL + successful unauthenticated probe of the docs, and record the revocation in this file and in the curation ledger.",barb-wave1
napster.com,main,dead-product,base host api.napster.com NXDOMAIN; napster.com repurposed to AI-agent platform; enrichment describes defunct music-catalogue API,2026-08-06,"Only if the vendor demonstrably relaunches a PUBLIC API program: cite live docs URL + successful unauthenticated probe of the docs, and record the revocation in this file and in the curation ledger.",barb-wave1
patientco.com,main,dead-product,web: acquired by Waystar 2021 ($450M+); patientco.com redirects to Waystar; standalone Patientco API discontinued; 2026-07-24,2026-08-06,"Only if the vendor demonstrably relaunches a PUBLIC API program: cite live docs URL + successful unauthenticated probe of the docs, and record the revocation in this file and in the curation ledger.",liveness-reprobe
cli.com,clico,dead-product,cli.com parked/for-sale on GoDaddy; base_url /api/v1 returns 404; no live Clico API at cli.com.,2026-08-06,"Only if the vendor demonstrably relaunches a PUBLIC API program: cite live docs URL + successful unauthenticated probe of the docs, and record the revocation in this file and in the curation ledger.",phase3-main-06
clickmeter.com,clickmeter-api,dead-product,clickmeter.com 301->rebrandly.com; apiv2/api hosts NXDOMAIN; product absorbed into Rebrandly; no official spec,2026-08-06,"Only if the vendor demonstrably relaunches a PUBLIC API program: cite live docs URL + successful unauthenticated probe of the docs, and record the revocation in this file and in the curation ledger.",phase3-main-06
coinlib.io,main,dead-product,"Coinlib API discontinued: /apidocs 200 until 2026-04-10, 404 since 2026-07-02, gone from sitemap; all /api/v1 endpoints return Next.js SPA 404 (not documented JSON); site rebuilt 2",2026-08-06,"Only if the vendor demonstrably relaunches a PUBLIC API program: cite live docs URL + successful unauthenticated probe of the docs, and record the revocation in this file and in the curation ledger.",phase3-main-06
pgamerx.com,main,dead-product,"api.pgamerx.com NXDOMAIN, pgamerx.com redirects off-domain to radiosagarmatha.org, successor rsa-api.xyz also NXDOMAIN; no live host or spec.",2026-08-06,"Only if the vendor demonstrably relaunches a PUBLIC API program: cite live docs URL + successful unauthenticated probe of the docs, and record the revocation in this file and in the curation ledger.",phase3-main-06
drive.google.com,Texta,dead-product,"The API our enrichment describes is discontinued. Our base_url api.texta.ai returns DNS NXDOMAIN (does not resolve). Our enrichment (spec_version 1.0.0, 2 endpoints: POST /content/",2026-08-06,"Only if the vendor demonstrably relaunches a PUBLIC API program: cite live docs URL + successful unauthenticated probe of the docs, and record the revocation in this file and in the curation ledger.",phase3-main-08
sonar.trading,sonar-trading-api,dead-product,"As of 2026-07-24, https://sonar.trading no longer hosts the currency-conversion API described in the enrichment. The domain now serves 'Sonar Finance', a prediction market on World",2026-08-06,"Only if the vendor demonstrably relaunches a PUBLIC API program: cite live docs URL + successful unauthenticated probe of the docs, and record the revocation in this file and in the curation ledger.",phase3-main-04
aiception.com,aiception-api,dead-product,"web: aiception.com serves 200 but pivoted to an AI-consultancy site (razvanpistolea/GitHub Razvy000), not the self-serve vision API; API base https://aiception.com/api/v2.1/adult_c",2026-08-06,"Only if the vendor demonstrably relaunches a PUBLIC API program: cite live docs URL + successful unauthenticated probe of the docs, and record the revocation in this file and in the curation ledger.",phase3-main-03
aiception.com,aiception.com,dead-product,"web: aiception.com root 200 but now an AI consultancy portfolio (""Artificial Intelligence for Humankind""), no self-serve API/docs/pricing; AIception referenced only as a past AI-as",2026-08-06,"Only if the vendor demonstrably relaunches a PUBLIC API program: cite live docs URL + successful unauthenticated probe of the docs, and record the revocation in this file and in the curation ledger.",phase3-main-03
bing.com,main,dead-product,"web: Microsoft Learn (learn.microsoft.com/en-us/bing/search-apis/) redirects to /previous-versions/ with is_retired:true, is_archived:true, updated_at 2025-08-11; page headline ""Pu",2026-08-06,"Only if the vendor demonstrably relaunches a PUBLIC API program: cite live docs URL + successful unauthenticated probe of the docs, and record the revocation in this file and in the curation ledger.",phase3-main-03
icy.tools,main,dead-product,"web: icy.tools officially shut down ~2024-01-09, acquired by QuickNode; developers.icy.tools 301->quicknode.com and docs.icy.tools 301->quicknode.com/docs; API origin graphql.icy.t",2026-08-06,"Only if the vendor demonstrably relaunches a PUBLIC API program: cite live docs URL + successful unauthenticated probe of the docs, and record the revocation in this file and in the curation ledger.",phase3-main-03
databasus.com,main,dead-product,"web: cataloged base host api.databasus.com = NXDOMAIN (dead DNS); databasus.com is live (GitHub Pages, HTTP 200, last-modified 2026-06-23) but is an unrelated open-source PostgreSQ",2026-08-06,"Only if the vendor demonstrably relaunches a PUBLIC API program: cite live docs URL + successful unauthenticated probe of the docs, and record the revocation in this file and in the curation ledger.",phase3-main-03
hotstoks.com,main,dead-product,"Checked 2026-07-25. The catalogued API base host api.hotstoks.com does not resolve: NXDOMAIN (Status 3, no A record) confirmed on two independent public DoH resolvers (Cloudflare 1",2026-08-06,"Only if the vendor demonstrably relaunches a PUBLIC API program: cite live docs URL + successful unauthenticated probe of the docs, and record the revocation in this file and in the curation ledger.",phase3-main-04
nypl.org,main,dead-product,"https://www.nypl.org/research/support/whats-on-the-menu (Wayback snapshot 2026-07-24) | NYPL official support page states: ""In January 2025, The New York Public Library's What's on",2026-08-06,"Only if the vendor demonstrably relaunches a PUBLIC API program: cite live docs URL + successful unauthenticated probe of the docs, and record the revocation in this file and in the curation ledger.",phase3-main-05
abgl.link,main,dead-product,No official spec search could even begin because the API does not exist. Liveness evidence: the enrichment base_url https://api.abgl.link returns NXDOMAIN (does not resolve; confir,2026-08-06,"Only if the vendor demonstrably relaunches a PUBLIC API program: cite live docs URL + successful unauthenticated probe of the docs, and record the revocation in this file and in the curation ledger.",phase3-main-07
cloudbees.com,codeship-api,dead-product,"Product dead / end-of-life. CloudBees end-of-life page (docs.cloudbees.com/docs/cloudbees-common/latest/cloudbees-codeship-eol/, fetched 2026-07-25) states verbatim: ""As of January",2026-08-06,"Only if the vendor demonstrably relaunches a PUBLIC API program: cite live docs URL + successful unauthenticated probe of the docs, and record the revocation in this file and in the curation ledger.",phase3-main-05
amdoren.com,main,dead-product,"amdoren.com no longer hosts the Amdoren Currency API. The apex and www domain now serve a Korean sports streaming service branded ""HUB TV"" / 허브TV (headings ""Beyond The SPORTS ACTIO",2026-08-06,"Only if the vendor demonstrably relaunches a PUBLIC API program: cite live docs URL + successful unauthenticated probe of the docs, and record the revocation in this file and in the curation ledger.",phase3-main-09
cryptomkt.com,main,dead-product,API host api.exchange.cryptomkt.com NXDOMAIN on both 8.8.8.8 and 1.1.1.1; catalogued base_url https://api.exchange.cryptomkt.com/api/3 unreachable (HTTP 000). developers.cryptomkt.,2026-08-06,"Only if the vendor demonstrably relaunches a PUBLIC API program: cite live docs URL + successful unauthenticated probe of the docs, and record the revocation in this file and in the curation ledger.",phase3-main-02
carbondoomsday.com,carbondoomsday-api,dead-product,"Product is dead, so no official spec search could succeed. The API host api.carbondoomsday.com — which is both the enrichment base_url (https://api.carbondoomsday.com/api) and the ",2026-08-06,"Only if the vendor demonstrably relaunches a PUBLIC API program: cite live docs URL + successful unauthenticated probe of the docs, and record the revocation in this file and in the curation ledger.",phase3-main-07
jirafe.com,jirafe-events,dead-product,"jirafe.com 307-redirects to afternic.com/forsale/jirafe.com (domain for sale); event.jirafe.com TLS unrecognized name, no API response; 2026-07-27",2026-08-06,"Only if the vendor demonstrably relaunches a PUBLIC API program: cite live docs URL + successful unauthenticated probe of the docs, and record the revocation in this file and in the curation ledger.",t3-checks-03
o2.cz,mobility-api,dead-product,"Host developer.o2.cz no longer resolves in DNS (curl exit 6; dig and nslookup via 8.8.8.8 return no A record, probed 2026-07-27). The claimed base URL https://developer.o2.cz/mobil",2026-08-06,"Only if the vendor demonstrably relaunches a PUBLIC API program: cite live docs URL + successful unauthenticated probe of the docs, and record the revocation in this file and in the curation ledger.",t3-checks-07
o2.cz,mobility,dead-product,"O2 Liberty API portal host developer.o2.cz has been removed from DNS: A/AAAA queries to 8.8.8.8, 1.1.1.1, and the authoritative nameserver dns.iol.cz return NOERROR with zero answe",2026-08-06,"Only if the vendor demonstrably relaunches a PUBLIC API program: cite live docs URL + successful unauthenticated probe of the docs, and record the revocation in this file and in the curation ledger.",t3-checks-07
o2.cz,socio-demo-api,dead-product,"Host developer.o2.cz has no DNS record: authoritative nameserver dns.iol.cz returns NOERROR with no A, AAAA, or CNAME, confirmed via 8.8.8.8 and 1.1.1.1, and curl fails with could ",2026-08-06,"Only if the vendor demonstrably relaunches a PUBLIC API program: cite live docs URL + successful unauthenticated probe of the docs, and record the revocation in this file and in the curation ledger.",t3-checks-07
o2.cz,sociodemo,dead-product,"O2 Czech Republic Liberty API pilot is gone: developer.o2.cz (the only host serving the sociodemo API and its docs) returns DNS NXDOMAIN as of 2026-07-27. Probed developer.o2.cz, a",2026-08-06,"Only if the vendor demonstrably relaunches a PUBLIC API program: cite live docs URL + successful unauthenticated probe of the docs, and record the revocation in this file and in the curation ledger.",t3-checks-07
relysia.com,relysia,dead-product,API host api.relysia.com no longer resolves in DNS (CNAME to fastfy-elb-1192827268.eu-west-2.elb.amazonaws.com which returns no A record on local resolver and 8.8.8.8); the enterpr,2026-08-06,"Only if the vendor demonstrably relaunches a PUBLIC API program: cite live docs URL + successful unauthenticated probe of the docs, and record the revocation in this file and in the curation ledger.",t3-checks-07
ritc.io,main,dead-product,"Ritc (Rules in the Cloud) is dead. api.ritc.io is NXDOMAIN (curl timeout, DNS: Host api.ritc.io not found: 3(NXDOMAIN)). The apex ritc.io and the original spec URL http://www.ritc.",2026-08-06,"Only if the vendor demonstrably relaunches a PUBLIC API program: cite live docs URL + successful unauthenticated probe of the docs, and record the revocation in this file and in the curation ledger.",t3-checks-07
qawafil.com,Qawafil,dead-product,"Vendor domain qawafil.com is parked and for sale via Saw.com brokerage (page title Qawafil.com - For Sale, listed at 12000 USD); Wayback shows it parked since at least 2023 via Dan",2026-08-06,"Only if the vendor demonstrably relaunches a PUBLIC API program: cite live docs URL + successful unauthenticated probe of the docs, and record the revocation in this file and in the curation ledger.",t3-checks-07
ritc.io,ritc,dead-product,Ritc (Rules in the Cloud) is dead. api.ritc.io has no DNS record (curl: could not resolve host). www.ritc.io and the original spec URL http://www.ritc.io/openapi/ritc.swagger.json ,2026-08-06,"Only if the vendor demonstrably relaunches a PUBLIC API program: cite live docs URL + successful unauthenticated probe of the docs, and record the revocation in this file and in the curation ledger.",t3-checks-07
getpocket.com,main,dead-product,"getpocket.com homepage carries a product-discontinuation notice: ""we've made the difficult decision to phase out Pocket - our read-it-later and content discovery app"" and ""While Po",2026-08-06,"Only if the vendor demonstrably relaunches a PUBLIC API program: cite live docs URL + successful unauthenticated probe of the docs, and record the revocation in this file and in the curation ledger.",phase3-main-13
openfintech.io,main,dead-product,openfintech.io 301-redirects to payatlas.com (unrelated payment directory); api.openfintech.io + docs.openfintech.io ENOTFOUND; identity flip; matches sibling openfintech.io/openfi,2026-08-06,"Only if the vendor demonstrably relaunches a PUBLIC API program: cite live docs URL + successful unauthenticated probe of the docs, and record the revocation in this file and in the curation ledger.",t3-checks-02
openlinksw.com,osdb,dead-product,Host osdb.openlinksw.com resolves (CNAME to EC2 ec2-50-19-82-10) but refuses TCP on 443/80; no OSDB REST docs anywhere on vendor domain or official GitHub; main site live but produ,2026-08-06,"Only if the vendor demonstrably relaunches a PUBLIC API program: cite live docs URL + successful unauthenticated probe of the docs, and record the revocation in this file and in the curation ledger.",t3-checks-02
openlinksw.com,osdb-rest-api-v1,dead-product,Host osdb.openlinksw.com resolves to EC2 50.19.82.10 but refuses TCP on 443; no OSDB REST docs anywhere on vendor domain or official GitHub; matches sibling openlinksw.com/osdb,2026-08-06,"Only if the vendor demonstrably relaunches a PUBLIC API program: cite live docs URL + successful unauthenticated probe of the docs, and record the revocation in this file and in the curation ledger.",t3-checks-02
whapi.com,bets-api,dead-product,same as bets (duplicate slug); program parked,2026-08-06,"Only if the vendor demonstrably relaunches a PUBLIC API program: cite live docs URL + successful unauthenticated probe of the docs, and record the revocation in this file and in the curation ledger.",t3-checks-01
carbondoomsday.com,carbondoomsday,dead-product,"API host api.carbondoomsday.com no longer resolves in DNS (curl could not resolve host, probed 2026-07-27). Root domain carbondoomsday.com serves only a generic under-construction ",2026-08-06,"Only if the vendor demonstrably relaunches a PUBLIC API program: cite live docs URL + successful unauthenticated probe of the docs, and record the revocation in this file and in the curation ledger.",t3-checks-07
getsandbox.com,main,dead-product,"getsandbox.com serves a Spaceship.com parking page titled ""GetSandbox.com for sale | Spaceship.com"" and https://getsandbox.com/api/ returns an empty reply (curl exit 52)",2026-08-06,"Only if the vendor demonstrably relaunches a PUBLIC API program: cite live docs URL + successful unauthenticated probe of the docs, and record the revocation in this file and in the curation ledger.",t3-checks-05
contentgroove.com,main,dead-product,api.contentgroove.com and developers.contentgroove.com fail DNS (2026-07-27); app.contentgroove.com 301s to unrelated windowsrva.com; apex serves default aaPanel placeholder; Wayba,2026-08-06,"Only if the vendor demonstrably relaunches a PUBLIC API program: cite live docs URL + successful unauthenticated probe of the docs, and record the revocation in this file and in the curation ledger.",phase3-main-11
amazonaws.com,alexaforbusiness,dead-product,"removed from botocore develop (404); present in botocore 1.29.0 tag, endpointPrefix a4b, apiVersion 2017-11-09, 5/5 sampled ops present; Alexa for Business publicly discontinued by",2026-08-06,"Only if the vendor demonstrably relaunches a PUBLIC API program: cite live docs URL + successful unauthenticated probe of the docs, and record the revocation in this file and in the curation ledger.",p4-aws-relabel
amazonaws.com,codestar,dead-product,"removed from botocore develop (404); present in botocore 1.29.0 tag, endpointPrefix codestar, apiVersion 2017-04-19, 5/5 sampled ops present; AWS CodeStar discontinued 2024-07-31 |",2026-08-06,"Only if the vendor demonstrably relaunches a PUBLIC API program: cite live docs URL + successful unauthenticated probe of the docs, and record the revocation in this file and in the curation ledger.",p4-aws-relabel
amazonaws.com,iot1click-devices,dead-product,"AWS IoT 1-Click discontinued by AWS (EOL announced 2024); removed from botocore develop; historical botocore 1.29.0 model: endpointPrefix devices.iot1click, apiVersion 2018-05-14, ",2026-08-06,"Only if the vendor demonstrably relaunches a PUBLIC API program: cite live docs URL + successful unauthenticated probe of the docs, and record the revocation in this file and in the curation ledger.",p4-aws-relabel
amazonaws.com,iot1click-projects,dead-product,"removed from botocore develop (404); present at tag 1.29.0 with endpointPrefix projects.iot1click, apiVersion 2018-05-14, 16/16 ops match; AWS IoT 1-Click discontinued by AWS | sou",2026-08-06,"Only if the vendor demonstrably relaunches a PUBLIC API program: cite live docs URL + successful unauthenticated probe of the docs, and record the revocation in this file and in the curation ledger.",p4-aws-relabel
amazonaws.com,iotevents,dead-product,"removed from botocore develop (404); present at tag 1.29.0 with endpointPrefix iotevents, apiVersion 2018-07-27, 26/26 ops present; AWS announced IoT Events end of support (closed ",2026-08-06,"Only if the vendor demonstrably relaunches a PUBLIC API program: cite live docs URL + successful unauthenticated probe of the docs, and record the revocation in this file and in the curation ledger.",p4-aws-relabel
amazonaws.com,lookoutmetrics,dead-product,"removed from botocore develop (404); present at tag 1.29.0 with endpointPrefix lookoutmetrics, apiVersion 2017-07-25, 30/30 ops match; Amazon Lookout for Metrics end of support ann",2026-08-06,"Only if the vendor demonstrably relaunches a PUBLIC API program: cite live docs URL + successful unauthenticated probe of the docs, and record the revocation in this file and in the curation ledger.",p4-aws-relabel
amazonaws.com,mobile,dead-product,AWS Mobile (Mobile Hub) discontinued; removed from current botocore develop and aws-sdk-js-v3 (both 404); aws.amazon.com/mobile/mobile-hub 404; historical botocore 1.29.0 model mat,2026-08-06,"Only if the vendor demonstrably relaunches a PUBLIC API program: cite live docs URL + successful unauthenticated probe of the docs, and record the revocation in this file and in the curation ledger.",p4-aws-relabel
amazonaws.com,mobileanalytics,dead-product,"Amazon Mobile Analytics discontinued (replaced by Pinpoint); removed from botocore (never restorable via 1.29.0 tag, 404); authoritative model verified in aws-sdk-js v2 mirror: end",2026-08-06,"Only if the vendor demonstrably relaunches a PUBLIC API program: cite live docs URL + successful unauthenticated probe of the docs, and record the revocation in this file and in the curation ledger.",p4-aws-relabel
amazonaws.com,nimble,dead-product,"Amazon Nimble Studio discontinued (EOL Nov 1 2024); removed from botocore develop; historical botocore 1.29.0 model: endpointPrefix nimble, apiVersion 2020-08-01, 4/5 sampled ops p",2026-08-06,"Only if the vendor demonstrably relaunches a PUBLIC API program: cite live docs URL + successful unauthenticated probe of the docs, and record the revocation in this file and in the curation ledger.",p4-aws-relabel
amazonaws.com,opsworks,dead-product,"removed from botocore develop (404); present at tag 1.29.0 with endpointPrefix opsworks, apiVersion 2013-02-18, 74/74 ops match; AWS OpsWorks Stacks reached end of life May 2024 | ",2026-08-06,"Only if the vendor demonstrably relaunches a PUBLIC API program: cite live docs URL + successful unauthenticated probe of the docs, and record the revocation in this file and in the curation ledger.",p4-aws-relabel
amazonaws.com,opsworkscm,dead-product,"removed from botocore develop (404); present at tag 1.29.0 with endpointPrefix opsworks-cm, apiVersion 2016-11-01, 19/19 ops present; AWS OpsWorks (incl. Chef Automate and Puppet E",2026-08-06,"Only if the vendor demonstrably relaunches a PUBLIC API program: cite live docs URL + successful unauthenticated probe of the docs, and record the revocation in this file and in the curation ledger.",p4-aws-relabel
amazonaws.com,qldb-session,dead-product,"removed from botocore develop (404); present at tag 1.29.0 with endpointPrefix session.qldb, apiVersion 2019-07-11, 1/1 op (SendCommand) present; Amazon QLDB end of support July 20",2026-08-06,"Only if the vendor demonstrably relaunches a PUBLIC API program: cite live docs URL + successful unauthenticated probe of the docs, and record the revocation in this file and in the curation ledger.",p4-aws-relabel
amazonaws.com,robomaker,dead-product,removed from botocore develop by PR #3583 merged 2025-10-28 (service client removals: qldb robomaker lookoutmetrics etc); historical tag 1.34.100 model matches: endpointPrefix robo,2026-08-06,"Only if the vendor demonstrably relaunches a PUBLIC API program: cite live docs URL + successful unauthenticated probe of the docs, and record the revocation in this file and in the curation ledger.",p4-aws-relabel
